participant_number,game_group,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt,group_id,group_label,bm_pred,nm_pred
33,⊤⊤,1.0,7.0,0.0,8.0,0.875,3.9380216599999995,5.1813693044999996,G4,G4: neither diagnostic,Low,Low
34,⊥⊥,4.0,2.0,2.0,8.0,0.3333333333333333,3.500587702,4.3027846815,G1,G1: both diagnostic,High,High
34,⊥⊤,2.0,2.0,4.0,8.0,0.5,1.3407170775,3.8407170775,G2,G2: BM-only diagnostic,High,Low
34,⊤⊥,2.0,0.0,6.0,8.0,0.0,0.9724272489999999,1.690522671,G3,G3: NM-only diagnostic,Low,High
34,⊤⊤,4.0,2.0,2.0,8.0,0.3333333333333333,2.8169078825,3.300794125,G4,G4: neither diagnostic,Low,Low
35,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.94900918,6.7725701335,G1,G1: both diagnostic,High,High
35,⊥⊤,6.0,2.0,0.0,8.0,0.25,5.2890732284999995,7.829132914500001,G2,G2: BM-only diagnostic,High,Low
35,⊤⊥,2.0,6.0,0.0,8.0,0.75,4.7269316915,6.3644509315,G3,G3: NM-only diagnostic,Low,High
35,⊤⊤,3.0,5.0,0.0,8.0,0.625,4.1528314355,6.730576992,G4,G4: neither diagnostic,Low,Low
36,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.438941479,7.2394132615,G1,G1: both diagnostic,High,High
36,⊥⊤,5.0,3.0,0.0,8.0,0.375,5.5697654485,7.784972191,G2,G2: BM-only diagnostic,High,Low
36,⊤⊥,3.0,5.0,0.0,8.0,0.625,4.3904873129999995,6.381906986,G3,G3: NM-only diagnostic,Low,High
36,⊤⊤,4.0,4.0,0.0,8.0,0.5,4.107434869,7.425874591,G4,G4: neither diagnostic,Low,Low
37,⊥⊥,5.0,2.0,1.0,8.0,0.2857142857142857,7.236675739,8.615801096,G1,G1: both diagnostic,High,High
37,⊥⊤,6.0,1.0,1.0,8.0,0.14285714285714285,8.412435293,9.412435293,G2,G2: BM-only diagnostic,High,Low
37,⊤⊥,6.0,2.0,0.0,8.0,0.25,6.7540866135,6.430099845,G3,G3: NM-only diagnostic,Low,High
37,⊤⊤,6.0,2.0,0.0,8.0,0.25,5.8649414775,6.8649414775,G4,G4: neither diagnostic,Low,Low
38,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.656487465,5.656487465,G1,G1: both diagnostic,High,High
38,⊥⊤,4.0,1.0,3.0,8.0,0.2,3.674104929,5.2555607555,G2,G2: BM-only diagnostic,High,Low
38,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,5.224411726,9.96280706,G3,G3: NM-only diagnostic,Low,High
38,⊤⊤,6.0,2.0,0.0,8.0,0.25,4.201714754,5.932847023000001,G4,G4: neither diagnostic,Low,Low
39,⊥⊥,2.0,6.0,0.0,8.0,0.75,3.1715756655,4.5918164255,G1,G1: both diagnostic,High,High
39,⊥⊤,6.0,2.0,0.0,8.0,0.25,2.882415891,4.7928677795,G2,G2: BM-only diagnostic,High,Low
39,⊤⊥,1.0,7.0,0.0,8.0,0.875,3.4868130685,4.708494663,G3,G3: NM-only diagnostic,Low,High
39,⊤⊤,6.0,2.0,0.0,8.0,0.25,3.8618189095,5.361296177,G4,G4: neither diagnostic,Low,Low
40,⊥⊥,6.0,2.0,0.0,8.0,0.25,5.3506265875,5.861821175,G1,G1: both diagnostic,High,High
40,⊥⊤,4.0,2.0,2.0,8.0,0.3333333333333333,3.8037874699999996,4.674104929,G2,G2: BM-only diagnostic,High,Low
40,⊤⊥,1.0,3.0,4.0,8.0,0.75,4.6212608815,6.018110037,G3,G3: NM-only diagnostic,Low,High
40,⊤⊤,3.0,1.0,4.0,8.0,0.25,4.201714754,14.93911445,G4,G4: neither diagnostic,Low,Low
41,⊥⊥,4.0,4.0,0.0,8.0,0.5,2.7282241579999997,3.7334613799999996,G1,G1: both diagnostic,High,High
41,⊥⊤,4.0,3.0,1.0,8.0,0.42857142857142855,1.514910221,2.59816885,G2,G2: BM-only diagnostic,High,Low
41,⊤⊥,5.0,3.0,0.0,8.0,0.375,1.9164525270000001,2.896358967,G3,G3: NM-only diagnostic,Low,High
41,⊤⊤,3.0,3.0,2.0,8.0,0.5,2.0541108845,3.279237032,G4,G4: neither diagnostic,Low,Low
42,⊥⊥,4.0,4.0,0.0,8.0,0.5,2.1275843385,3.7356749775,G1,G1: both diagnostic,High,High
42,⊥⊤,4.0,3.0,1.0,8.0,0.42857142857142855,3.079295635,6.489588857,G2,G2: BM-only diagnostic,High,Low
42,⊤⊥,3.0,4.0,1.0,8.0,0.5714285714285714,3.03674674,6.86488986,G3,G3: NM-only diagnostic,Low,High
42,⊤⊤,4.0,4.0,0.0,8.0,0.5,2.319080114,4.032801628,G4,G4: neither diagnostic,Low,Low
43,⊥⊥,2.0,5.0,1.0,8.0,0.7142857142857143,2.013850212,4.4856419565,G1,G1: both diagnostic,High,High
43,⊥⊤,6.0,2.0,0.0,8.0,0.25,2.0099351405,2.608277321,G2,G2: BM-only diagnostic,High,Low
43,⊤⊥,3.0,5.0,0.0,8.0,0.625,1.5219377280000002,2.475120068,G3,G3: NM-only diagnostic,Low,High
43,⊤⊤,5.0,3.0,0.0,8.0,0.375,1.915785909,2.02389884,G4,G4: neither diagnostic,Low,Low
44,⊥⊥,4.0,4.0,0.0,8.0,0.5,4.4418219325,4.652019858,G1,G1: both diagnostic,High,High
44,⊥⊤,5.0,3.0,0.0,8.0,0.375,4.3746347425000005,4.583455324,G2,G2: BM-only diagnostic,High,Low
44,⊤⊥,4.0,4.0,0.0,8.0,0.5,3.9263997075,4.9263997075,G3,G3: NM-only diagnostic,Low,High
44,⊤⊤,6.0,2.0,0.0,8.0,0.25,5.862233281,6.877591967500001,G4,G4: neither diagnostic,Low,Low
45,⊥⊥,8.0,0.0,0.0,8.0,0.0,7.950345397,8.4035060405,G1,G1: both diagnostic,High,High
45,⊥⊤,8.0,0.0,0.0,8.0,0.0,8.375346303,8.936561583,G2,G2: BM-only diagnostic,High,Low
45,⊤⊥,4.0,3.0,1.0,8.0,0.42857142857142855,7.172513962,11.06256533,G3,G3: NM-only diagnostic,Low,High
